
time=13175, port=1, receive=0

time=13185, port=1, receive=0

time=13195, port=1, receive=1

time=13205, port=1, receive=1

time=13215, port=1, receive=0

time=13225, port=1, receive=0

time=13235, port=1, receive=1

time=13245, port=1, receive=0

time=13255, port=1, receive=0

time=13265, port=1, receive=0

time=13275, port=1, receive=0

time=13285, port=1, receive=0

time=13295, port=1, receive=0

time=13305, port=1, receive=0

time=13315, port=1, receive=0

time=13325, port=1, receive=0

time=13335, port=1, receive=0

time=13345, port=1, receive=0

time=13355, port=1, receive=0

time=13365, port=1, receive=0

time=13375, port=1, receive=0

time=13385, port=1, receive=0

time=13395, port=1, receive=0

time=13405, port=1, receive=0

time=13415, port=1, receive=0

time=13425, port=1, receive=0

time=13435, port=1, receive=0

time=13445, port=1, receive=0

time=13455, port=1, receive=0

time=13465, port=1, receive=0

time=13475, port=1, receive=1

time=13485, port=1, receive=0

time=13495, port=1, receive=0

time=13505, port=1, receive=0

time=13515, port=1, receive=0

time=13525, port=1, receive=1

time=13535, port=1, receive=0

time=13545, port=1, receive=0

time=13555, port=1, receive=0

time=13565, port=1, receive=1

time=13575, port=1, receive=0

time=13585, port=1, receive=0

time=13595, port=1, receive=0

time=13605, port=1, receive=1

time=13615, port=1, receive=0

time=13625, port=1, receive=0

time=13635, port=1, receive=0

time=13645, port=1, receive=1

time=13655, port=1, receive=0

time=13665, port=1, receive=0

time=13675, port=1, receive=0

time=13685, port=1, receive=1

time=13695, port=1, receive=0

time=13705, port=1, receive=0

time=13715, port=1, receive=0

time=13725, port=1, receive=1

time=13735, port=1, receive=1

time=13745, port=1, receive=0

time=13755, port=1, receive=1

time=13765, port=1, receive=0

time=13775, port=1, receive=1

time=13785, port=1, receive=0

time=13795, port=1, receive=0

time=13805, port=1, receive=0

time=13815, port=1, receive=null, cause=data_ended

time=15000, port=1, send=1, transmission=successfully

time=15010, port=1, send=1, transmission=successfully

time=15020, port=1, send=1, transmission=successfully

time=15030, port=1, send=1, transmission=successfully

time=15040, port=1, send=1, transmission=successfully

time=15050, port=1, send=1, transmission=successfully

time=15060, port=1, send=1, transmission=successfully

time=15070, port=1, send=1, transmission=successfully

time=15080, port=1, send=1, transmission=successfully

time=15090, port=1, send=1, transmission=successfully

time=15100, port=1, send=1, transmission=successfully

time=15110, port=1, send=1, transmission=successfully

time=15120, port=1, send=1, transmission=successfully

time=15130, port=1, send=1, transmission=successfully

time=15140, port=1, send=1, transmission=successfully

time=15150, port=1, send=1, transmission=successfully

time=15160, port=1, send=1, transmission=successfully

time=15170, port=1, send=1, transmission=successfully

time=15180, port=1, send=0, transmission=successfully

time=15190, port=1, send=0, transmission=successfully

time=15200, port=1, send=0, transmission=successfully

time=15210, port=1, send=1, transmission=successfully

time=15220, port=1, send=0, transmission=successfully

time=15230, port=1, send=1, transmission=successfully

time=15240, port=1, send=1, transmission=successfully

time=15250, port=1, send=1, transmission=successfully

time=15260, port=1, send=0, transmission=successfully

time=15270, port=1, send=1, transmission=successfully

time=15280, port=1, send=0, transmission=successfully

time=15290, port=1, send=1, transmission=successfully

time=15300, port=1, send=1, transmission=successfully

time=15310, port=1, send=0, transmission=successfully

time=15320, port=1, send=0, transmission=successfully

time=15330, port=1, send=0, transmission=successfully

time=15340, port=1, send=0, transmission=successfully

time=15350, port=1, send=0, transmission=successfully

time=15360, port=1, send=1, transmission=successfully

time=15370, port=1, send=0, transmission=successfully

time=15380, port=1, send=0, transmission=successfully

time=15390, port=1, send=0, transmission=successfully

time=15400, port=1, send=0, transmission=successfully

time=15410, port=1, send=0, transmission=successfully

time=15420, port=1, send=0, transmission=successfully

time=15430, port=1, send=0, transmission=successfully

time=15440, port=1, send=0, transmission=successfully

time=15450, port=1, send=0, transmission=successfully

time=15460, port=1, send=1, transmission=successfully

time=15470, port=1, send=0, transmission=successfully

time=15480, port=1, send=0, transmission=successfully

time=15490, port=1, send=0, transmission=successfully

time=15500, port=1, send=0, transmission=successfully

time=15510, port=1, send=0, transmission=successfully

time=15520, port=1, send=1, transmission=successfully

time=15530, port=1, send=0, transmission=successfully

time=15540, port=1, send=1, transmission=successfully

time=15550, port=1, send=0, transmission=successfully

time=15560, port=1, send=0, transmission=successfully

time=15570, port=1, send=0, transmission=successfully

time=15580, port=1, send=0, transmission=successfully

time=15590, port=1, send=1, transmission=successfully

time=15600, port=1, send=1, transmission=successfully

